pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,pl_trandur,pl_ratdor
CoRoT-25,Transit,1,4.86069000,0.057800,0.000000,0.27000,1.080,6040.00,1.09,1.19,0.0800000,10.200000
CoRoT-26,Transit,1,4.20474000,0.052600,0.000000,0.52000,1.260,5590.00,1.09,1.79,0.2279000,6.280000
CoRoT-27,Transit,1,3.57532000,0.047600,0.065000,10.39000,1.007,5900.00,1.05,1.08,0.1154000,9.480000
CoRoT-28,Transit,1,5.20851000,0.060300,0.047000,0.48400,0.955,5150.00,1.01,1.78,0.2375000,7.290000
CoRoT-29,Transit,1,2.85057000,0.038600,0.082000,0.85000,0.900,5260.00,0.97,0.90,0.0912500,9.220000
CoRoT-3,Transit,1,4.25680000,,0.000000,21.66000,1.010,6740.00,1.37,1.56,,7.800000
CoRoT-4,Transit,1,9.20205000,0.090000,0.000000,0.72000,1.190,6190.00,1.16,1.17,,17.360000
CoRoT-5,Transit,1,4.03789620,0.049470,0.090000,0.46700,1.388,6100.00,1.00,1.19,,
CoRoT-6,Transit,1,8.88659300,0.085500,0.100000,2.96000,1.166,6090.00,1.05,1.02,0.1700000,17.940000
CoRoT-7,Transit,2,0.85359163,,0.000000,0.01000,0.150,5275.00,0.82,0.83,,4.260000
CoRoT-7,Radial Velocity,2,3.69800000,0.046000,0.000000,0.02643,,5275.00,0.82,0.83,,
CoRoT-8,Transit,1,6.21229000,0.063000,0.000000,0.22000,0.570,5080.00,0.88,0.77,0.1142000,17.600000
CoRoT-9,Transit,1,95.27265600,0.402100,0.133000,0.84000,1.066,5625.00,0.96,0.96,0.3445000,89.900000
CoRoTID 223977153,Transit,1,6.71837000,0.071000,,0.15000,0.570,5970.00,1.08,0.79,0.1040000,
DE CVn,Eclipse Timing Variations,1,4098.10000000,5.750000,0.000000,12.02930,,,0.51,,,
DENIS-P J082303.1-491201,Astrometry,1,246.36000000,0.360000,0.345000,28.50000,,,0.07,,,
DH Tau,Imaging,1,,330.000000,,11.00000,,,0.33,0.27,,
DP Leo,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,6.05000,,13500.00,,0.01,,
DS Tuc A,Transit,1,8.13826800,,0.000000,,0.509,5428.00,1.01,0.96,0.1323500,20.350000
EPIC 201238110,Transit,1,28.16560000,,,,0.167,,0.41,,,
EPIC 201497682,Transit,1,2.13174000,,,,0.062,,0.78,,,
K2-166,Transit,2,3.80464000,,,,0.109,,1.07,,,
K2-16,Transit,3,2.71578000,,,,0.092,,0.67,,,
K2-50,Transit,2,3.96151000,,,,0.089,,0.61,,,
EPIC 201841433,Transit,1,4.16959000,,,,0.098,,0.80,,,
K2-168,Transit,2,8.05072200,,,,0.117,5502.70,0.88,0.83,,16.180000
EPIC 206024342,Transit,1,4.50756000,,,,0.152,,0.93,,,
EPIC 206032309,Transit,1,2.87814000,,,,0.090,,0.22,,,
EPIC 206042996,Transit,1,5.29711000,,,,0.145,,0.56,,,
EPIC 206215704,Transit,1,2.25372000,,,,0.080,,0.41,,,
EPIC 206317286,Transit,1,1.58252000,,,,0.086,,0.71,,,
EPIC 211822797,Transit,1,21.16986100,0.131000,0.060000,,0.177,4148.21,0.66,0.57,,48.670000
EPIC 211945201,Transit,1,19.49221000,0.149300,,,0.514,6069.00,1.17,1.39,,35.630000
EPIC 212297394,Transit,1,2.28943000,,,,0.118,,0.83,,,
EPIC 212424622,Transit,1,18.09830000,,,,0.194,,1.11,,,
EPIC 212499991,Transit,1,34.88500000,,,,0.143,,0.91,,,
EPIC 212587672,Transit,1,15.28410000,,,,0.100,,0.95,,,
EPIC 212737443,Transit,2,13.60300000,0.098000,0.200000,,0.231,4684.00,0.69,0.67,0.1240000,31.994000
EPIC 212737443,Transit,2,65.55000000,0.280000,0.200000,,0.240,4684.00,0.69,0.67,0.1920000,91.172000
K2-282,Transit,2,0.70531000,,,,0.132,,0.94,,,
EPIC 220674823,Transit,2,0.57133100,0.013400,,,0.162,5617.00,0.97,0.98,,2.720000
EPIC 220674823,Transit,2,13.33907900,0.109100,,,0.244,5617.00,0.97,0.98,,27.660000
EPIC 246851721,Transit,1,6.18023500,0.072290,,3.00000,1.051,6202.00,1.32,1.59,0.1711700,9.800000
EPIC 248847494,Transit,1,3650.00000000,4.500000,0.000000,13.00000,1.110,4898.00,0.90,2.70,2.2333333,
FU Tau,Imaging,1,,800.000000,,16.00000,,2838.00,0.05,,,
Fomalhaut,Imaging,1,555530.00000000,160.000000,0.870000,,,,1.92,,,
GJ 1132,Transit,2,1.62893100,0.015300,0.220000,0.00522,,3270.00,0.18,0.21,,
GJ 1132,Transit,2,8.92900000,0.047600,0.270000,0.00831,,3270.00,0.18,0.21,,
GJ 1148,Radial Velocity,2,41.38000000,0.166000,0.380000,0.30425,,3264.00,0.35,0.40,,
GJ 1148,Radial Velocity,2,532.58000000,0.912000,0.342000,0.21414,,3264.00,0.35,0.40,,
GJ 1214,Transit,1,1.58040456,0.014110,,0.01970,0.254,3026.00,0.15,0.22,,14.000000
GJ 1265,Radial Velocity,1,3.65110000,0.026000,0.040000,0.02328,,3236.00,0.18,0.19,,
GJ 143,Transit,2,35.61253000,0.191500,0.188000,0.07142,0.233,4640.00,0.73,0.69,0.1345833,60.100000
GJ 15 A,Radial Velocity,2,11.44070000,0.072000,0.094000,0.00953,,3607.00,0.38,0.38,,
GJ 15 A,Radial Velocity,2,7600.00000000,5.400000,0.270000,0.11327,,3607.00,0.38,0.38,,
GJ 160.2,Radial Velocity,1,5.23540000,0.053000,0.060000,0.03209,,4347.00,0.69,,,
GJ 163,Radial Velocity,3,8.63182000,0.060700,0.073000,0.03335,,3500.00,0.40,,,
GJ 163,Radial Velocity,3,25.63058000,0.125400,0.099000,0.02140,,3500.00,0.40,,,
GJ 163,Radial Velocity,3,603.95116000,1.030400,0.373000,0.09250,,3500.00,0.40,,,
GJ 179,Radial Velocity,1,2288.00000000,2.410000,0.210000,0.82000,,3370.00,0.36,0.38,,
GJ 180,Radial Velocity,2,17.38000000,0.103000,0.110000,0.02611,,3371.00,0.43,,,
GJ 180,Radial Velocity,2,24.32900000,0.129000,0.090000,0.02014,,3371.00,0.43,,,
GJ 229,Radial Velocity,1,471.00000000,0.970000,0.100000,0.10068,,3564.00,0.58,,,
GJ 27.1,Radial Velocity,1,15.81900000,0.101000,0.080000,0.04090,,3542.00,0.53,,,
GJ 273,Radial Velocity,2,18.64980000,0.091101,0.100000,0.00909,,3382.00,0.29,0.29,,
GJ 273,Radial Velocity,2,4.72340000,0.036467,0.170000,0.00371,,3382.00,0.29,0.29,,
GJ 3021,Radial Velocity,1,133.71000000,0.490000,0.511000,3.37000,,5540.00,0.90,0.90,,
GJ 3138,Radial Velocity,3,1.22003000,0.019700,0.190000,0.00560,,3717.00,0.68,0.50,,
GJ 3138,Radial Velocity,3,5.97400000,0.057000,0.110000,0.01315,,3717.00,0.68,0.50,,
GJ 3138,Radial Velocity,3,257.80000000,0.698000,0.320000,0.03304,,3717.00,0.68,0.50,,
GJ 317,Radial Velocity,2,692.00000000,1.150000,0.110000,2.50000,,3510.00,0.42,,,
GJ 317,Radial Velocity,2,5312.00000000,,0.308000,1.54000,,3510.00,0.42,,,
GJ 328,Radial Velocity,1,4100.00000000,4.500000,0.370000,2.30000,,3900.00,0.69,,,
GJ 3293,Radial Velocity,4,30.59870000,0.143390,0.060000,0.07406,,3466.00,0.42,0.40,,
GJ 3293,Radial Velocity,4,122.61960000,0.361750,0.110000,0.06636,,3466.00,0.42,0.40,,
GJ 3293,Radial Velocity,4,48.13450000,0.193940,0.120000,0.02391,,3466.00,0.42,0.40,,
GJ 3293,Radial Velocity,4,13.25430000,0.082080,0.210000,0.01032,,3466.00,0.42,0.40,,
GJ 3323,Radial Velocity,2,5.36360000,0.032820,0.230000,0.00636,,3159.00,0.16,0.12,,
GJ 3323,Radial Velocity,2,40.54000000,0.126400,0.170000,0.00727,,3159.00,0.16,0.12,,
GJ 3341,Radial Velocity,1,14.20700000,0.089000,0.310000,0.02080,,3526.00,0.47,0.44,,
GJ 3470,Radial Velocity,1,3.33664960,0.035500,,0.04373,0.408,3600.00,0.54,0.55,,13.980000
GJ 3512,Radial Velocity,1,203.59000000,0.338000,0.435600,0.46300,,3081.00,0.12,0.14,,
GJ 357,Transit,3,3.93072000,0.035000,,0.00579,0.109,3505.00,0.34,0.34,0.0637500,22.310000
GJ 357,Radial Velocity,3,9.12470000,0.061000,,0.01070,,3505.00,0.34,0.34,,
GJ 357,Radial Velocity,3,55.66100000,0.204000,,0.01919,,3505.00,0.34,0.34,,
GJ 3634,Radial Velocity,1,2.64561000,0.028700,0.080000,0.02600,,,0.45,0.43,,
GJ 3779,Radial Velocity,1,3.02320000,0.026000,0.070000,0.02517,,3324.00,0.27,0.28,,
GJ 3942,Radial Velocity,1,6.90500000,0.060800,0.121000,0.02246,,3867.00,0.63,0.61,,
GJ 3998,Radial Velocity,2,2.64977000,0.029000,0.000000,0.00777,,3722.00,0.50,0.49,,
GJ 3998,Radial Velocity,2,13.74000000,0.089000,0.049000,0.01970,,3722.00,0.50,0.49,,
GJ 411,Radial Velocity,1,12.95320000,0.078500,0.220000,0.00941,,3563.00,0.39,0.39,,
GJ 422,Radial Velocity,1,26.16100000,0.119000,0.050000,0.03115,,3323.00,0.35,,,
GJ 4276,Radial Velocity,1,13.35200000,0.082000,0.370000,0.05213,,3387.00,0.41,0.41,,
GJ 433,Radial Velocity,2,7.36970000,0.060000,0.050000,0.01668,,3472.00,0.48,,,
GJ 433,Radial Velocity,2,3400.00000000,3.600000,0.080000,0.14159,,3472.00,0.48,,,
GJ 436,Radial Velocity,1,2.64388312,0.029100,0.138270,0.07000,0.372,,0.47,0.46,,13.730000
GJ 504,Imaging,1,,43.500000,,4.00000,,6234.00,1.22,,,
GJ 536,Radial Velocity,1,8.70760000,0.066610,0.080000,0.01686,,3685.00,0.52,0.50,,
GJ 581,Radial Velocity,3,5.36860000,0.040610,0.000000,0.04970,,,0.31,0.29,,
GJ 581,Radial Velocity,3,12.91400000,0.072100,0.000000,0.01730,,,0.31,0.29,,
GJ 581,Radial Velocity,3,3.14900000,0.028150,0.000000,0.00530,,,0.31,0.29,,
GJ 625,Radial Velocity,1,14.62800000,0.078361,0.130000,0.00887,,3499.00,0.30,0.31,,
GJ 649,Radial Velocity,1,598.30000000,1.135000,0.300000,0.32800,,3700.00,0.54,,,
GJ 667 C,Radial Velocity,5,7.20040000,0.050500,0.130000,0.01800,,3350.00,0.33,,,
GJ 667 C,Radial Velocity,5,28.14000000,0.125000,0.020000,0.01200,,3350.00,0.33,,,
GJ 667 C,Radial Velocity,5,62.24000000,0.213000,0.020000,0.00800,,3350.00,0.33,,,
GJ 667 C,Radial Velocity,5,39.02600000,0.156000,0.030000,0.00800,,3350.00,0.33,,,
GJ 667 C,Radial Velocity,5,256.20000000,0.549000,0.080000,0.01400,,3350.00,0.33,,,
GJ 674,Radial Velocity,1,4.69380000,0.039000,0.200000,0.03500,,3600.00,0.35,,,
GJ 676 A,Radial Velocity,4,1056.80005000,1.820000,0.330000,4.96000,,3734.00,0.73,0.69,,
GJ 676 A,Radial Velocity,4,7337.00000000,6.600000,,6.80000,,3734.00,0.73,0.69,,
GJ 676 A,Radial Velocity,4,3.60050000,,0.262000,0.01400,,3734.00,0.73,0.69,,
GJ 676 A,Radial Velocity,4,35.39000000,,0.125000,0.02500,,3734.00,0.73,0.69,,
GJ 682,Radial Velocity,2,17.47800000,0.080000,0.080000,0.01384,,3028.00,0.27,,,
GJ 682,Radial Velocity,2,57.32000000,0.176000,0.100000,0.02737,,3028.00,0.27,,,
GJ 685,Radial Velocity,1,24.16000000,0.134400,0.000000,0.02832,,3816.00,0.55,0.54,,
GJ 687,Radial Velocity,1,38.14000000,0.170000,0.040000,0.06000,,3340.00,0.45,0.43,,
GJ 832,Radial Velocity,2,3657.00000000,3.560000,0.080000,0.68000,,3472.00,0.45,,,
GJ 832,Radial Velocity,2,35.68000000,0.163000,0.180000,0.01700,,3472.00,0.45,,,
GJ 849,Radial Velocity,1,1882.00000000,2.350000,0.040000,1.00000,,3241.00,0.65,0.53,,
GJ 86,Radial Velocity,1,15.76491000,0.110000,0.040000,4.42000,,5182.00,0.93,0.77,,
GJ 876,Radial Velocity,4,61.11660000,0.208317,0.032400,2.27560,,,0.32,0.30,,
GJ 876,Radial Velocity,4,30.08810000,0.129590,0.255910,0.71420,,,0.32,0.30,,
GJ 876,Radial Velocity,4,1.93778000,0.020807,0.207000,0.02100,,,0.32,0.30,,
GJ 876,Radial Velocity,4,124.26000000,0.334300,0.055000,0.04600,,,0.32,0.30,,
GJ 96,Radial Velocity,1,73.94000000,0.291000,0.440000,0.06186,,3785.00,0.60,,,
GJ 9827,Transit,3,1.20898190,0.018800,0.000000,0.01545,0.141,4340.00,0.61,0.60,0.0527000,6.719000
GJ 9827,Transit,3,3.64809570,0.039250,0.000000,0.00264,0.111,4340.00,0.61,0.60,0.0760400,14.035000
GJ 9827,Transit,3,6.20146980,0.055910,0.000000,0.01271,0.180,4340.00,0.61,0.60,0.0509500,20.003000
GQ Lup,Imaging,1,,100.000000,,20.00000,3.000,,0.70,,,
GSC 06214-00210,Imaging,1,,320.000000,,16.00000,,4200.00,0.90,,,
GU Psc,Imaging,1,,2000.000000,,11.30000,1.265,,0.33,,,
Gl 378,Radial Velocity,1,3.82200000,0.039435,0.109000,0.04097,,3879.00,0.56,0.56,,
Gl 49,Radial Velocity,1,13.85080000,0.090500,0.363000,0.01771,,3805.00,0.52,0.51,,
Gl 686,Radial Velocity,1,15.53140000,0.091700,0.077000,0.02089,,3663.00,0.42,0.42,,
HAT-P-1,Transit,1,4.46529976,0.055610,,0.52500,1.319,5980.00,1.15,1.17,0.1187500,9.853000
HAT-P-11,Transit,2,4.88780244,0.052540,0.218000,0.07362,0.389,4780.00,0.81,0.68,,
HAT-P-11,Radial Velocity,2,3407.00000000,4.130000,0.601000,1.59519,,4780.00,0.81,0.68,,
HAT-P-12,Transit,1,3.21305980,0.038400,0.000000,0.21100,0.959,4650.00,0.73,0.70,0.0974000,11.770000
HAT-P-13,Transit,2,2.91625000,,0.013300,0.85100,1.272,5653.00,1.22,1.56,,5.892800
HAT-P-13,Radial Velocity,2,446.27000000,,0.661600,14.28000,,5653.00,1.22,1.56,,
HAT-P-14,Transit,1,4.62767000,,0.110000,3.44000,1.420,6600.00,2.65,1.82,,8.900000
HAT-P-15,Transit,1,10.86350000,,0.190000,1.94000,1.060,5568.00,1.00,1.07,,19.250000
HAT-P-16,Transit,1,2.77596000,0.041300,0.036000,4.19300,1.289,6158.00,1.22,1.24,0.1276000,7.170000
HAT-P-17,Transit,2,10.33852000,,0.350000,0.58000,1.050,5246.00,0.99,0.87,,22.720000
HAT-P-17,Radial Velocity,2,5584.00000000,5.600000,0.390000,3.40000,,5246.00,0.99,0.87,,
HAT-P-18,Transit,1,5.50802300,0.055900,0.084000,0.19700,0.995,4803.00,0.77,0.75,0.1131000,16.040000
HAT-P-19,Transit,1,4.00877800,0.046600,0.067000,0.29200,1.132,4990.00,0.84,0.82,0.1182000,12.240000
HAT-P-2,Transit,1,5.63351580,0.068140,0.517200,8.62000,,6380.00,1.33,1.39,,
HAT-P-20,Transit,1,2.87531700,0.036100,0.015000,7.24600,0.867,4595.00,0.76,0.69,0.0770000,11.170000
HAT-P-21,Transit,1,4.12448000,,0.230000,4.87000,1.110,5588.00,1.24,1.21,,9.650000
HAT-P-22,Transit,1,3.21222000,,0.020000,2.47000,1.150,5302.00,1.13,1.11,,8.580000
HAT-P-23,Transit,1,1.21288000,,0.110000,1.34000,1.090,5905.00,0.58,0.96,,4.160000
HAT-P-24,Transit,1,3.35524000,,0.070000,0.75000,1.300,6373.00,1.37,1.38,,7.610000
HAT-P-25,Transit,1,3.65281514,0.046600,0.023000,0.56900,1.135,5519.00,1.01,0.92,0.1172100,10.900000
HAT-P-26,Transit,1,4.23452000,,0.120000,0.07000,0.630,5079.00,1.12,0.87,,13.090000
HAT-P-27,Transit,1,3.03957700,0.040000,0.000000,0.62000,1.020,5300.00,0.94,0.90,0.0700000,9.804000
HAT-P-28,Transit,1,3.25721500,0.043400,0.051000,0.62600,1.212,5680.00,1.02,1.10,0.1341000,8.430000
HAT-P-29,Transit,1,5.72319000,,0.090000,0.88000,1.170,6087.00,1.45,1.30,,11.740000
HAT-P-3,Transit,1,2.89970000,,0.000000,0.65000,0.940,5185.00,1.06,0.87,,10.050000
HAT-P-30,Transit,1,2.81060000,,0.040000,0.83000,1.440,6304.00,1.55,1.31,,7.430000
HAT-P-31,Transit,1,5.00542000,,0.250000,2.27000,1.090,6065.00,1.31,1.39,,9.700000
HAT-P-32,Transit,1,2.15000820,0.033970,0.159000,0.68000,1.980,6001.00,1.13,1.37,0.1300200,5.344000
HAT-P-33,Transit,1,3.47447000,,0.000000,0.92000,1.850,6446.00,1.82,1.79,,6.570000
HAT-P-34,Transit,1,5.45265000,,0.440000,7.01000,1.350,6442.00,4.26,1.73,,12.200000
HAT-P-35,Transit,1,3.64671000,,0.030000,7.52000,3.550,6096.00,23.56,3.82,,7.480000
HAT-P-36,Transit,1,1.32734683,0.024100,,1.84820,1.277,5620.00,1.03,1.04,0.0930000,4.950000
HAT-P-37,Transit,1,2.79743600,0.037900,0.058000,1.16900,1.178,5500.00,0.93,0.88,0.0971000,9.320000
HAT-P-38,Transit,1,4.64038200,0.052300,0.067000,0.26700,0.825,5330.00,0.89,0.92,0.1267000,12.170000
HAT-P-39,Transit,1,3.54387000,0.050900,0.000000,0.59900,1.571,6430.00,1.40,1.62,0.1745000,6.740000
HAT-P-4,Transit,1,3.05653600,0.044380,0.000000,0.67100,1.274,5860.00,,,,6.040000
HAT-P-40,Transit,1,4.45724000,,0.000000,0.48000,1.520,6080.00,1.03,1.94,,5.940000
HAT-P-41,Transit,1,2.69405000,,0.000000,1.19000,2.050,6390.00,2.56,2.05,,5.450000
HAT-P-42,Transit,1,4.64187800,0.057500,0.000000,1.04400,1.280,5743.00,1.18,1.53,0.1681000,8.080000
HAT-P-43,Transit,1,3.33268700,0.044300,0.000000,0.66200,1.281,5645.00,1.05,1.10,0.1354000,8.640000
HAT-P-44,Transit,2,4.30121900,0.050700,0.044000,0.35200,1.242,5295.00,0.94,0.95,0.1302000,11.490000
HAT-P-44,Radial Velocity,2,872.20000000,1.752000,0.494000,4.00000,,5295.00,0.94,0.95,0.5030000,
