pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
11 Com b,11 Com,2,1,Radial Velocity,2007,,,,,,,,,2.6
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,,,,0.231,,4742,19,2.7
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,,,,0.08,,4213,29.79,2.78
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.22,,,,0.08,,4340,24.08,1.8
11 UMi b,11 UMi,1,1,Radial Velocity,2009,,,,,,,,,1.7
14 And b,14 And,1,1,Radial Velocity,2008,185.84,,,,0,,4813,11,2.2
14 And b,14 And,1,1,Radial Velocity,2008,,,,,,,,,1.2
14 Her b,14 Her,1,1,Radial Velocity,2002,1773.40002,,,,0.37,,5338,0.93,0.9
14 Her b,14 Her,1,1,Radial Velocity,2002,1766,,,,0.359,,5280,1,0.91
14 Her b,14 Her,1,1,Radial Velocity,2002,1773.4,,,,0.369,,,,
14 Her b,14 Her,1,1,Radial Velocity,2002,1796.4,,,,0.338,,5255,,0.9
14 Her b,14 Her,1,1,Radial Velocity,2002,1724,,,,0.37,,,,1
14 Her b,14 Her,1,1,Radial Velocity,2002,,,,,0.357,,,,0.9
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,799.5,,,,0.689,,5747,1.13,1.03
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,799.5,,,,0.689,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,800.8,,,,0.634,,5760,,1
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,,,,0.681,,5674,,0.99
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,,,,0.68,,5750,1.13,1.08
18 Del b,18 Del,2,1,Radial Velocity,2008,,,,,,,,,2.1
18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,,,,0.08,,4979,8.5,2.3
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,,3000,,,1700,4060,,0.85
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,1.664,2543,,,1800,4060,1.35,0.85
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,,3000,,,1800,3993,1.31,0.62
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,,4000,,,1700,4060,,0.85
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,,,,0.042,,4893,10.64,0.99
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,,,,0.09,,5098,4.9,1.54
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883,,,,0.29,,5098,4.9,1.54
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,1,,,,1600,3309,0.37,0.35
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,,7786.5,,,,3530,,0.4
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,1.44,4418,,,,3064,0.28,0.11
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,,2383.6,,,,,,0.02
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,,1271,,,1150,2825,0.22,0.19
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,,1589,,,1250,,,0.02
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,2,Eclipse Timing Variations,2015,416,,604,,,,,,0.48
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,7336.5,0.92,6657.48,,0.26,2075,2300,0.12,0.08
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,,3973,,,,4045,,0.6
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,,,,0.29,,6331,1.41,1.93
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.1,,,,0.289,,6300,1.13,1.16
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,345.4,,,,0.18,,,1.13,1.16
4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,,,,0.432,,4415,18.11,1.23
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,,,,0.38,,4200,22.03,0.98
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1076.6,,,,0.012,,5882,,1.06
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1100.8,,,,0.097,,,,
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,,,,0.032,,5872,1.21,1.06
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1083.2,,,,0.049,,,,
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391,,,,0.098,,5872,1.21,1.06
47 UMa c,47 UMa,1,3,Radial Velocity,2001,7586,,,,0.005,,,,
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002,,,,0.16,,5872,1.21,1.06
51 Eri b,51 Eri,3,1,Imaging,2015,,,636,,,700,,,1.75
51 Eri b,51 Eri,3,1,Imaging,2015,14965,,,,0.21,,7295,1.49,1.65
51 Eri b,51 Eri,3,1,Imaging,2015,11688,,,,0.45,,7295,1.49,1.65
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.23077,,,,0,,,,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.231,,146,,0,,,,1.04
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.2293,,,,0,,5773,1.29,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,,,,0.013,,5758,1.18,1.03
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.65126,,,,0.0159,,5250,0.96,0.9
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.651,,,,0.004,,5250,0.96,0.9
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.653,,,,0.02,,,,0.95
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6,,254.25,,0,700,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.465314,,266.966,,0.0023,,5250,0.96,0.9
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.65152,,263.9785,,0.0034,,,,0.95
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.647,,,,0.03,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.648,,,,0.051,,5200,,0.85
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.67,,,,0.0197,,,,0.95
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.65162,,,,0.014,,5250,0.96,0.9
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3787,,,,0.053,,5250,0.96,0.9
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.38,,,,0.07,,5250,0.96,0.9
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,43.93,,,,0.44,,,,0.95
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.373,,56.6985,,0.072,,5250,0.96,0.9
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.4175,,54.4738,,0.02,,,,0.95
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3446,,,,0.086,,5250,0.96,0.9
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4825,,1232.493,,0.019,,,,0.95
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4517.4,,,,0.327,,,,0.95
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5218,,,,0.025,,5250,0.96,0.9
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4909,,,,0.02,,5250,0.96,0.9
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5360,,,,0.16,,,,0.95
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4545,,,,0.24,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5370,,,,0.063,,5250,0.96,0.9
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4867,,1226.77,,0.0269,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,,0.171,8.08,6.3,,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.736539,0.17,8.08,6.4,,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.736546,0.194,8.37,4.5,0,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.737,0.169,7.74,6.25,,,5172,0.95,0.87
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365478,,8.09479,,0.028,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365515,,8.13928,,0.04,,,,0.95
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,2.808,,,,0.174,,,,0.95
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,2.79674,,,,0.264,,5250,0.96,0.9
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365437,0.186,7.81,4.78,0.061,1958,5234,0.94,0.91
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.73654,0.178,8.63,5.9,,,,0.94,0.96
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365417,,,,,,,,
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,260.7,,,,0,,5250,0.96,0.9
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,260,,,,0.2,,5250,0.96,0.9
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,261.2,,,,0.32,,5250,0.96,0.9
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,260.91,,47.0051,,0.08,,5250,0.96,0.9
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,262,,44.812,,0.305,,,,0.95
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,899,,,,0.134,,4978,5.2,1.7
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,874.774,,,,0.125,,,5.2,1.82
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.3,,,,0.073,,4938,5.2,1.44
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,,,,0.12,,5577,0.96,0.94
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,,,,0.14,,5577,0.96,0.94
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,,,,0.35,,5577,0.96,0.94
7 CMa b,7 CMa,1,2,Radial Velocity,2011,796,,,,0.22,,4794.52,4.91,
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,,,,0.06,,4826,4.87,1.34
7 CMa b,7 CMa,1,2,Radial Velocity,2011,763,,,,0.14,,4792,2.3,1.52
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996,,,,0.08,,4826,4.87,1.34
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,,,,0.3988,,5495,1.89,1.09
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.6884,,2380.45,,0.4007,,5545,,1.11
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.6926,,,,0.399,,5439,1.94,1.09
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.689,,,,0.397,,,,
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.6884,,,,0.4,,5531,1.84,1.14
75 Cet b,75 Cet,2,1,Radial Velocity,2012,691.9,,,,0.117,,4846,10.5,2.49
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,,,,0.06,,4847,10.3,1.44
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,,,,0.06,,4847.4,9.9,1.8
81 Cet b,81 Cet,1,1,Radial Velocity,2008,,,,,,,,,1.6
81 Cet b,81 Cet,1,1,Radial Velocity,2008,952.7,,,,0.206,,4785,11,2.4
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,,,,0.027,,4665,11,1.4
AB Pic b,AB Pic,1,1,Imaging,2005,,,4290.5,,,,,,
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,,,,0.2,,4095,32.35,1.14
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,,,,0.29,,5008,0.95,0.86
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,,,,0.29,,4864,0.86,0.49
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,,,,0.001,,4649,8.95,1.08
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,,,,0.26,,4796,14.7,1.1
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,,,,0.15,,4137,49,2.8
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,,,,0.15,,4259,71.02,10.83
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,,,,0.18,,4137,49,2.8
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,,,,0.21,,4296,17.3,0.8
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.199,16.3,7.89,0,546,5766,0.93,0.96
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.688644,0.21,,,,,5703,,
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.23,22,,0,,5766,1.08,1.67
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.688644,0.21,,,,,5703,0.96,0.96
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,,,,0.2,,4414,11,0.74
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733,,,,0.76,,4534,10.33,1.09
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590,,,,0.35,,4943,7.6,1.52
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,,,,0,,4324,,0.7
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,,,,0.31,,4324,,0.7
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,,,,0.15,,4816,0.71,0.5
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,,,,0.15,,4746,,0.74
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,,,,0.19,,4746,,0.74
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,,,,0.019,,5393,,1.01
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.487,,,,0.05,,5400,,1.1
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,,,,0.02,,5393,0.91,1.47
BD-11 4672 b,BD-11 4672,1,1,Radial Velocity,2014,1667,,,,0.05,,4475,0.52,0.57
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,,,,0.21,,4545,19.17,2.12
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.3,,,,0.21,,,,2.4
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.6,,,,0.54,,4714,0.69,0.74
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.59998,,,,0.54,,4665,0.74,0.31
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,,3337.1,,,370,580.5,,0.02
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,,3994.486,,,,,,0.35
CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.9891,,3687,,0.25,,,,0.9
CT Cha b,CT Cha,1,1,Imaging,2007,,2.2,5403,,,2600,,,
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089682,1.715,391,0.302,0.036,,6298,1.23,1.22
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.50897655,1.42,340,0.44,0.071,1834,5950,,
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,1.48,359,,0,,5950,1.14,1.03
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089686,1.551,327,0.344,,1915,5950,1.13,0.95
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,1.49,327.35,0.38,0,1898,5950,1.11,0.95
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.941,884,4.16,,647,5075,0.74,0.9
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.97,874,3.7,0.53,600,5075,0.79,0.89
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.97,868,3.69,0.524,,5075,0.79,0.89
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,1.426,744,1,,1735,6440,1.37,1.26
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.994325,1.43,833,1.11,0.36,,6440,1.37,1.27
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.994325,1.39,791,0.93,0,1715,,1.33,1.23
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,,,,,,,6343,1.36,1.56
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,1.43,740.51,0.99,0,1657,6440,1.37,1.27
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,1.44,291.438,0.411,0.07,1442,5675,1.12,1.08
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.82805268,1.344,277,0.447,,1417,,1.05,1
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,1.35,282,0.448,,1410,5675,1.05,1.02
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,1.44,291,0.381,0.05,,5675,1.12,1.08
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.885,415.704,2.34,0,1700,5945,1.01,1.09
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,1.252,417,0.82,,1432,5945,1.27,1.09
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.885,423,2.38,0.067,,5945,1.01,1.09
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,1.018,2438,9,,1936,6035,1.19,1.12
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,1.09,2415.4,7.3,0,1952,6035,1.21,1.13
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,1.09,2358,7.1,0.036,,6040,1.21,1.13
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,1.17,168,0.41,0.37,,5650,1.19,1.1
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,1.17,170.032,0.44,0.33,,5650,1.19,1.1
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,1.02,766,2.81,0.081,,5740,1.59,1.04
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,1.02,772.29,2.82,0,1626,5740,1.59,1.04
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,1.007,782,3.0058,,1610,5740,1.62,1.04
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,1.31,1102.82,2.2,0.08,1550,5440,1,0.95
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.90009,1.146,1049,2.73,,1487,,0.88,0.88
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,1.251,1039,2.07,,1490,5440,0.92,0.86
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,1.31,1100,1.91,0.025,,5440,1,0.95
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,1.29,367.1,0.668,0.056,,6090,1.65,1.21
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,1.29,352.78,0.71,0.047,2000,6090,1.65,1.21
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,1.19,346.4,0.798,,1630,6090,1.58,1.18
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.74299609,1.475,,,,,5575,,
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.74299673,1.466,1049,1.3,0.024,,5625,0.9,0.97
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429964,1.465,1051.973,,0,,,,
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.74299673,,,,,,5529,0.94,0.97
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,1.466,1102.82,1.47,0.0143,,5625,0.91,0.96
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,1.46,1135,1.427,,1521,5598,0.9,1
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,1.47,1151,1.418,,1548,5696,0.91,1.02
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429975,1.414,1052,1.553,0,1535,5625,0.9,0.97
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24318,1,1316,5.2,,1024,,1.16,1.1
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,1.16,1608,4,,1100,5880,1.34,1.11
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.84,1347.54,8.87,0.562,1002,5880,1.02,1.14
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,,1367,,0.59,,,,1.14
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.84,1344,8.9,0.575,,5880,1.02,1.14
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675,,,,0.6,,,,1.14
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,1.3,718,1.36,0,,6200,1.95,1.29
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,1.3,706,1.24,0.39,,6200,1.95,1.29
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.435,12.2,0.249,0.077,885,5939,1.14,1.1
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,1.05,889.9,3,0.16,1660,5900,1.61,1.14
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,1.18,973,2.3275,,1710,5900,1.74,1.12
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,1.05,982,3.3,0.16,,5900,1.61,1.14
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.33,5.7,0.9,0,1070,4950,0.86,0.91
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.44,28,1.3,0,850,4950,0.86,0.91
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,1.08,85.81,0.15,0,1330,6040,1.19,1.09
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,1.08,93.1,0.24,0.22,,6040,1.19,1.09
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,1.26,184,0.36,0.41,,5590,1.79,1.09
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,1.26,165.26,0.28,0,1600,5590,1.79,1.09
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,1.007,3274,12.5,0.034,,5900,1.08,1.05
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,1.007,3302.11,12.6,0.065,1500,5900,1.08,1.05
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.955,154,0.69,0.047,,5150,1.78,1.01
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.955,153,0.68,0.071,,5150,1.78,1.01
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.9,270,1.45,0.082,,5260,0.9,0.97
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.9,267,1.44,0.12,,5260,0.9,0.97
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.8505615,,,,,,5268,1.08,0.9
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2567994,0.993,6748,,0.008,,,1.54,1.36
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2567994,1.037,6980,24.5,,1695,6740,1.57,1.4
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,,,,,,,6558,1.44,1.41
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2567994,1.01,6814,25.9,0.016,,6740,1.56,1.37
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,1.01,6883.91,26.4,0,,6740,1.56,1.37
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,1.16,232,0.583,,1058,6190,1.15,1.19
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,1.19,228.83,0.525,0,1074,6190,1.17,1.16
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,1.19,223,0.517,0.14,,6190,1.17,1.16
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0379156,1.256,146,0.288,,1397,,1.11,0.99
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,1.388,148.42,0.217,0.09,1438,6100,1.19,1
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,1.388,152,0.221,0.087,,6100,1.19,1
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,1.182,149,0.354,,1348,6100,1.05,1.02
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,1.166,940.74,2.32,0.1,1017,6090,1.02,1.05
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,1.166,938,2.3,0.18,,6090,1.02,1.05
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,1.185,941,2.21,,1025,6090,1.04,1.05
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.853585,,4.8,,0,,5256,0.86,0.9
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.854,0.141,4.6,6.5,,,5313,0.84,0.88
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.853585,0.166,6.99,6,,1910,5250,0.96,0.88
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.85359159,0.141,5.74,7.5,0,1756,5259,0.82,0.91
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.853585,0.15,21,,,,5275,0.87,0.93
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.85359165,,4.73,6.61,0.12,,5256,0.86,0.9
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.85359163,0.15,3.2,,0,,5275,0.83,0.82
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,3.7,,13.56,,0.12,,5256,0.86,0.9
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,3.698,,8.4,,0,,5256,0.86,0.9
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.212381,0.57,69.3,1.45,0.19,,5080,0.77,0.88
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.57,69.92,1.6,0,,5080,0.77,0.88
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.212445,0.619,69.3,1.1,,870,,0.8,0.89
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.712,68.7,0.74,,922,5080,0.9,0.88
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.2738,1.05,266.97,0.9,0.11,,5625,0.94,0.99
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,1.066,269,0.91,0.134,,5625,0.96,0.96
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.2738,1.037,263,0.92,,413,5625,0.94,0.96
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,1.066,267,0.86,0.133,420,5625,0.96,0.96
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837,0.57,48,1.1,,938,5970,0.79,1.08
DE CVn b,DE CVn,1,1,Eclipse Timing Variations,2018,4098.1,,,,0,,,,0.51
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,,9057.77,,0.345,,,,0.07
DH Tau b,DH Tau,1,1,Imaging,2004,,,3496,,,,,0.27,0.33
