pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
11 Com b,11 Com,2,1,Radial Velocity,,,2.60,,,,,,
11 Com b,11 Com,2,1,Radial Velocity,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,
11 UMi b,11 UMi,1,1,Radial Velocity,4213.00,29.79,2.78,-0.020,[Fe/H],,1.93,,
11 UMi b,11 UMi,1,1,Radial Velocity,4340.00,24.08,1.80,0.040,[Fe/H],,1.60,1.560,
11 UMi b,11 UMi,1,1,Radial Velocity,,,1.70,,,,,,
14 And b,14 And,1,1,Radial Velocity,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,,
14 And b,14 And,1,1,Radial Velocity,,,1.20,,,,,,
14 Her b,14 Her,1,1,Radial Velocity,5338.00,0.93,0.90,0.410,[Fe/H],,4.45,,
14 Her b,14 Her,1,1,Radial Velocity,5280.00,1.00,0.91,0.400,[M/H],0.704,4.40,,0.9036
14 Her b,14 Her,1,1,Radial Velocity,,,,,,,,,
14 Her b,14 Her,1,1,Radial Velocity,5255.00,,0.90,0.510,[Fe/H],-0.150,4.40,3.900,
14 Her b,14 Her,1,1,Radial Velocity,,,1.00,0.350,[Fe/H],,,,
14 Her b,14 Her,1,1,Radial Velocity,,,0.90,,,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5747.00,1.13,1.03,0.060,[M/H],1.251,4.35,,0.7171
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,,,,,,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5760.00,,1.00,0.050,[Fe/H],,4.35,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5674.00,,0.99,0.038,[Fe/H],,4.36,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5750.00,1.13,1.08,0.060,[Fe/H],,4.36,,
18 Del b,18 Del,2,1,Radial Velocity,,,2.10,,,,,,
18 Del b,18 Del,2,1,Radial Velocity,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,,0.85,,,-0.370,,0.005,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,1.35,0.85,,,,,0.005,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,3993.00,1.31,0.62,,,0.395,4.00,,0.2751
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,,0.85,,,-0.370,,0.010,
24 Boo b,24 Boo,1,1,Radial Velocity,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,
24 Sex b,24 Sex,1,2,Radial Velocity,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,
24 Sex c,24 Sex,1,2,Radial Velocity,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,3309.00,0.37,0.35,,,0.015,4.86,,7.1772
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,3530.00,,0.40,,,-1.720,,0.120,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,3064.00,0.28,0.11,,,-2.230,4.59,0.035,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,,,0.02,,,,,0.001,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2825.00,0.22,0.19,,,0.003,5.03,,17.9309
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,,,0.02,,,,,0.008,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,2,Eclipse Timing Variations,,,0.48,,,,,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2300.00,0.12,0.08,,,-3.480,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,4045.00,,0.60,,,,,0.120,
30 Ari B b,30 Ari B,4,1,Radial Velocity,6331.00,1.41,1.93,0.190,[Fe/H],,4.43,,
30 Ari B b,30 Ari B,4,1,Radial Velocity,6300.00,1.13,1.16,0.245,[Fe/H],,4.50,0.910,
30 Ari B b,30 Ari B,4,1,Radial Velocity,,1.13,1.16,,,,,,
4 UMa b,4 UMa,1,1,Radial Velocity,4415.00,18.11,1.23,-0.250,[Fe/H],,1.80,4.604,
42 Dra b,42 Dra,2,1,Radial Velocity,4200.00,22.03,0.98,-0.460,[Fe/H],,1.71,9.490,
47 UMa b,47 UMa,1,3,Radial Velocity,5882.00,,1.06,0.040,[Fe/H],,,,
47 UMa b,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa b,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
47 UMa b,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa c,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
47 UMa c,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa d,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
51 Eri b,51 Eri,3,1,Imaging,,,1.75,-0.027,[M/H],0.850,,0.020,
51 Eri b,51 Eri,3,1,Imaging,7295.00,1.49,1.65,,,5.644,4.31,,0.5016
51 Eri b,51 Eri,3,1,Imaging,7295.00,1.49,1.65,,,5.644,4.31,,0.5016
51 Peg b,51 Peg,1,1,Radial Velocity,,,,,,,,,
51 Peg b,51 Peg,1,1,Radial Velocity,,,1.04,,,,,,
51 Peg b,51 Peg,1,1,Radial Velocity,5773.00,1.29,,0.200,[M/H],,4.32,10.000,
51 Peg b,51 Peg,1,1,Radial Velocity,5758.00,1.18,1.03,0.180,[M/H],1.369,4.31,,0.6339
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,0.270,[Fe/H],,,5.500,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5200.00,,0.85,0.230,[Fe/H],,4.50,5.000,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,0.270,[Fe/H],,,5.500,
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5172.00,0.95,0.87,0.350,[Fe/H],,4.43,,1.4100
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5234.00,0.94,0.91,0.310,[Fe/H],,4.45,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,0.94,0.96,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,4978.00,5.20,1.70,-0.130,[Fe/H],1.176,3.16,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,,5.20,1.82,,,,,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,4938.00,5.20,1.44,,,,3.19,,
61 Vir b,61 Vir,1,3,Radial Velocity,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,
61 Vir c,61 Vir,1,3,Radial Velocity,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,
61 Vir d,61 Vir,1,3,Radial Velocity,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,
7 CMa b,7 CMa,1,2,Radial Velocity,4794.52,4.91,,0.088,[M/H],,,,
7 CMa b,7 CMa,1,2,Radial Velocity,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,
7 CMa b,7 CMa,1,2,Radial Velocity,4792.00,2.30,1.52,0.210,[Fe/H],1.053,3.25,,
7 CMa c,7 CMa,1,2,Radial Velocity,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,
70 Vir b,70 Vir,1,1,Radial Velocity,5495.00,1.89,1.09,,,,3.95,,
70 Vir b,70 Vir,1,1,Radial Velocity,5545.00,,1.11,-0.012,[Fe/H],,4.07,8.000,
70 Vir b,70 Vir,1,1,Radial Velocity,5439.00,1.94,1.09,-0.090,[Fe/H],0.451,3.90,7.770,
70 Vir b,70 Vir,1,1,Radial Velocity,,,,,,,,,
70 Vir b,70 Vir,1,1,Radial Velocity,5531.00,1.84,1.14,-0.060,[Fe/H],,3.97,,
75 Cet b,75 Cet,2,1,Radial Velocity,4846.00,10.50,2.49,0.000,[Fe/H],1.730,2.63,,
8 UMi b,8 UMi,1,1,Radial Velocity,4847.00,10.30,1.44,-0.030,[Fe/H],,2.57,,
8 UMi b,8 UMi,1,1,Radial Velocity,4847.40,9.90,1.80,-0.030,[Fe/H],,2.57,1.700,
81 Cet b,81 Cet,1,1,Radial Velocity,,,1.60,,,,,,
81 Cet b,81 Cet,1,1,Radial Velocity,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,,
91 Aqr b,91 Aqr,3,1,Radial Velocity,4665.00,11.00,1.40,-0.030,[Fe/H],,2.52,3.560,
AB Pic b,AB Pic,1,1,Imaging,,,,,,,,0.030,
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,5.200,
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,5008.00,0.95,0.86,0.100,[Fe/H],-0.320,4.60,,
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,4864.00,0.86,0.49,0.170,[Fe/H],,4.26,,
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,7.410,
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,7.100,
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,4259.00,71.02,10.83,-0.790,[Fe/H],,1.77,,
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,
BD+20 274 b,BD+20 274,1,1,Radial Velocity,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,,
BD+20 594 b,BD+20 594,1,1,Transit,5766.00,0.93,0.96,-0.150,[Fe/H],-0.056,4.50,3.340,1.7000
BD+20 594 b,BD+20 594,1,1,Transit,5703.00,,,-0.060,[Fe/H],,4.38,,
BD+20 594 b,BD+20 594,1,1,Transit,5766.00,1.08,1.67,-0.150,[Fe/H],,4.50,,1.8900
BD+20 594 b,BD+20 594,1,1,Transit,5703.00,0.96,0.96,-0.060,[Fe/H],,4.38,,
BD+48 738 b,BD+48 738,1,1,Radial Velocity,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,,
BD+48 740 b,BD+48 740,1,1,Radial Velocity,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,,
BD+49 828 b,BD+49 828,1,1,Radial Velocity,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,2.340,
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,4324.00,,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,4324.00,,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,4816.00,0.71,0.50,-0.060,[Fe/H],,4.43,,
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,4746.00,,0.74,-0.070,[Fe/H],,4.13,4.500,
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,4746.00,,0.74,-0.070,[Fe/H],,4.13,4.500,
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,5393.00,,1.01,0.382,[Fe/H],,4.68,,
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,5400.00,,1.10,0.500,[Fe/H],,4.40,,
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,5393.00,0.91,1.47,0.380,[Fe/H],,4.69,,
BD-11 4672 b,BD-11 4672,1,1,Radial Velocity,4475.00,0.52,0.57,-0.480,[Fe/H],,4.10,4.400,
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,4545.00,19.17,2.12,-0.080,[Fe/H],,2.20,,
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,,,2.40,,,,,0.740,
BD-17 63 b,BD-17 63,1,1,Radial Velocity,4714.00,0.69,0.74,-0.030,[Fe/H],-0.678,4.26,4.300,
BD-17 63 b,BD-17 63,1,1,Radial Velocity,4665.00,0.74,0.31,0.010,[Fe/H],,4.19,,
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,580.50,,0.02,,,,4.72,,
CHXR 73 b,CHXR 73,1,1,Imaging,,,0.35,,,,,0.002,
CI Tau b,CI Tau,1,1,Radial Velocity,,,0.90,,,-0.110,,0.003,
CT Cha b,CT Cha,1,1,Imaging,,,,,,,,0.002,
CoRoT-1 b,CoRoT-1,1,1,Transit,6298.00,1.23,1.22,0.060,,,,1.600,
CoRoT-1 b,CoRoT-1,1,1,Transit,5950.00,,,-0.300,[Fe/H],,4.25,,
CoRoT-1 b,CoRoT-1,1,1,Transit,5950.00,1.14,1.03,,,,,,
CoRoT-1 b,CoRoT-1,1,1,Transit,5950.00,1.13,0.95,-0.300,[Fe/H],,4.31,7.800,0.9300
CoRoT-1 b,CoRoT-1,1,1,Transit,5950.00,1.11,0.95,-0.300,[M/H],,4.25,,
CoRoT-10 b,CoRoT-10,1,1,Transit,5075.00,0.74,0.90,0.260,[Fe/H],,4.65,0.100,3.1000
CoRoT-10 b,CoRoT-10,1,1,Transit,5075.00,0.79,0.89,0.260,[Fe/H],,4.65,3.000,3.3200
CoRoT-10 b,CoRoT-10,1,1,Transit,5075.00,0.79,0.89,0.260,,,,3.000,
CoRoT-11 b,CoRoT-11,1,1,Transit,6440.00,1.37,1.26,-0.030,[Fe/H],,4.26,2.000,0.6870
CoRoT-11 b,CoRoT-11,1,1,Transit,6440.00,1.37,1.27,0.030,,,,2.000,
CoRoT-11 b,CoRoT-11,1,1,Transit,,1.33,1.23,,,,,2.000,0.7400
CoRoT-11 b,CoRoT-11,1,1,Transit,6343.00,1.36,1.56,0.040,[Fe/H],,4.27,,0.5810
CoRoT-11 b,CoRoT-11,1,1,Transit,6440.00,1.37,1.27,-0.030,[Fe/H],,4.22,2.000,0.6900
CoRoT-12 b,CoRoT-12,1,1,Transit,5675.00,1.12,1.08,0.160,[Fe/H],,4.38,6.300,1.0800
CoRoT-12 b,CoRoT-12,1,1,Transit,,1.05,1.00,,,0.070,4.38,6.170,1.2200
CoRoT-12 b,CoRoT-12,1,1,Transit,5675.00,1.05,1.02,0.160,[Fe/H],,4.41,5.800,1.2500
CoRoT-12 b,CoRoT-12,1,1,Transit,5675.00,1.12,1.08,0.160,,,,6.300,
CoRoT-13 b,CoRoT-13,1,1,Transit,5945.00,1.01,1.09,0.010,[Fe/H],,4.46,1.635,1.4680
CoRoT-13 b,CoRoT-13,1,1,Transit,5945.00,1.27,1.09,0.010,[Fe/H],,4.26,5.800,0.7410
CoRoT-13 b,CoRoT-13,1,1,Transit,5945.00,1.01,1.09,0.010,,,,1.600,
CoRoT-14 b,CoRoT-14,1,1,Transit,6035.00,1.19,1.12,0.050,[Fe/H],,4.34,3.700,0.9400
CoRoT-14 b,CoRoT-14,1,1,Transit,6035.00,1.21,1.13,0.050,[Fe/H],,4.35,4.200,0.9100
CoRoT-14 b,CoRoT-14,1,1,Transit,6040.00,1.21,1.13,0.050,,,,4.200,
CoRoT-16 b,CoRoT-16,1,1,Transit,5650.00,1.19,1.10,0.190,,,,6.700,
CoRoT-16 b,CoRoT-16,1,1,Transit,5650.00,1.19,1.10,0.190,[M/H],,4.36,6.730,0.9300
CoRoT-17 b,CoRoT-17,1,1,Transit,5740.00,1.59,1.04,0.000,,,,10.700,
CoRoT-17 b,CoRoT-17,1,1,Transit,5740.00,1.59,1.04,0.000,[Fe/H],,4.40,10.700,0.3200
CoRoT-17 b,CoRoT-17,1,1,Transit,5740.00,1.62,1.04,0.000,[Fe/H],,4.04,8.000,0.3420
CoRoT-18 b,CoRoT-18,1,1,Transit,5440.00,1.00,0.95,-0.100,[Fe/H],,4.40,,1.3500
CoRoT-18 b,CoRoT-18,1,1,Transit,,0.88,0.88,,,-0.170,4.49,0.032,1.8000
CoRoT-18 b,CoRoT-18,1,1,Transit,5440.00,0.92,0.86,-0.100,[Fe/H],,4.44,,1.5400
CoRoT-18 b,CoRoT-18,1,1,Transit,5440.00,1.00,0.95,0.100,,,,0.600,
CoRoT-19 b,CoRoT-19,1,1,Transit,6090.00,1.65,1.21,0.020,,,,5.000,
CoRoT-19 b,CoRoT-19,1,1,Transit,6090.00,1.65,1.21,-0.020,[Fe/H],0.544,4.07,5.000,0.3800
CoRoT-19 b,CoRoT-19,1,1,Transit,6090.00,1.58,1.18,-0.020,[Fe/H],,4.12,4.900,0.4250
CoRoT-2 b,CoRoT-2,2,1,Transit,5575.00,,,-0.040,[Fe/H],,,,1.9580
CoRoT-2 b,CoRoT-2,2,1,Transit,5625.00,0.90,0.97,0.000,,,,2.700,
CoRoT-2 b,CoRoT-2,2,1,Transit,,,,,,,,,
CoRoT-2 b,CoRoT-2,2,1,Transit,5529.00,0.94,0.97,-0.040,[M/H],0.740,4.48,,1.1787
CoRoT-2 b,CoRoT-2,2,1,Transit,5625.00,0.91,0.96,,,,,2.700,1.8140
CoRoT-2 b,CoRoT-2,2,1,Transit,5598.00,0.90,1.00,0.040,[Fe/H],,4.53,1.200,1.9190
CoRoT-2 b,CoRoT-2,2,1,Transit,5696.00,0.91,1.02,0.030,[Fe/H],,4.53,0.600,1.9190
CoRoT-2 b,CoRoT-2,2,1,Transit,5625.00,0.90,0.97,0.000,[Fe/H],,4.30,,
CoRoT-20 b,CoRoT-20,1,2,Transit,,1.16,1.10,,,0.170,4.35,4.000,1.0000
CoRoT-20 b,CoRoT-20,1,2,Transit,5880.00,1.34,1.11,0.140,[Fe/H],,4.23,5.900,0.6500
CoRoT-20 b,CoRoT-20,1,2,Transit,5880.00,1.02,1.14,0.140,[Fe/H],,4.20,0.100,1.5100
CoRoT-20 b,CoRoT-20,1,2,Transit,,,1.14,,,,,,
CoRoT-20 b,CoRoT-20,1,2,Transit,5880.00,1.02,1.14,0.140,,,,0.100,
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,,,1.14,,,,,,
CoRoT-21 b,CoRoT-21,1,1,Transit,6200.00,1.95,1.29,0.000,[Fe/H],,3.70,4.100,0.2550
CoRoT-21 b,CoRoT-21,1,1,Transit,6200.00,1.95,1.29,0.000,,,,4.100,
CoRoT-22 b,CoRoT-22,1,1,Transit,5939.00,1.14,1.10,0.170,[Fe/H],,4.36,3.300,1.0270
CoRoT-23 b,CoRoT-23,1,1,Transit,5900.00,1.61,1.14,0.050,[Fe/H],,4.30,7.200,0.5000
CoRoT-23 b,CoRoT-23,1,1,Transit,5900.00,1.74,1.12,0.050,[Fe/H],,4.01,5.400,0.3010
CoRoT-23 b,CoRoT-23,1,1,Transit,5900.00,1.61,1.14,0.050,,,,7.200,
CoRoT-24 b,CoRoT-24,1,2,Transit,4950.00,0.86,0.91,0.300,[Fe/H],,4.55,11.000,
CoRoT-24 c,CoRoT-24,1,2,Transit,4950.00,0.86,0.91,0.300,[Fe/H],,4.55,11.000,
CoRoT-25 b,CoRoT-25,1,1,Transit,6040.00,1.19,1.09,-0.010,[Fe/H],,4.31,4.500,
CoRoT-25 b,CoRoT-25,1,1,Transit,6040.00,1.19,1.09,0.010,,,,4.500,
CoRoT-26 b,CoRoT-26,1,1,Transit,5590.00,1.79,1.09,0.010,,,,8.600,
CoRoT-26 b,CoRoT-26,1,1,Transit,5590.00,1.79,1.09,0.010,[Fe/H],,3.99,8.600,
CoRoT-27 b,CoRoT-27,1,1,Transit,5900.00,1.08,1.05,0.100,,,,4.200,
CoRoT-27 b,CoRoT-27,1,1,Transit,5900.00,1.08,1.05,-0.100,[M/H],,4.40,4.210,1.2400
CoRoT-28 b,CoRoT-28,1,1,Transit,5150.00,1.78,1.01,0.150,[Fe/H],,3.60,12.000,0.2700
CoRoT-28 b,CoRoT-28,1,1,Transit,5150.00,1.78,1.01,0.150,,,,12.000,
CoRoT-29 b,CoRoT-29,1,1,Transit,5260.00,0.90,0.97,0.200,[Fe/H],,4.30,4.500,1.8250
CoRoT-29 b,CoRoT-29,1,1,Transit,5260.00,0.90,0.97,0.200,,,,4.000,
CoRoT-29 b,CoRoT-29,1,1,Transit,5268.00,1.08,0.90,,,0.805,4.33,,0.7201
CoRoT-3 b,CoRoT-3,1,1,Transit,,1.54,1.36,,,,,,0.5240
CoRoT-3 b,CoRoT-3,1,1,Transit,6740.00,1.57,1.40,-0.020,[Fe/H],,4.19,1.500,0.5060
CoRoT-3 b,CoRoT-3,1,1,Transit,6558.00,1.44,1.41,0.140,[Fe/H],,4.25,,0.4310
CoRoT-3 b,CoRoT-3,1,1,Transit,6740.00,1.56,1.37,0.020,,,,2.200,
CoRoT-3 b,CoRoT-3,1,1,Transit,6740.00,1.56,1.37,,,,4.22,2.200,
CoRoT-4 b,CoRoT-4,1,1,Transit,6190.00,1.15,1.19,0.050,[Fe/H],,4.40,0.800,1.1100
CoRoT-4 b,CoRoT-4,1,1,Transit,6190.00,1.17,1.16,,,,4.41,1.000,
CoRoT-4 b,CoRoT-4,1,1,Transit,6190.00,1.17,1.16,0.050,,,,1.000,
CoRoT-5 b,CoRoT-5,1,1,Transit,,1.11,0.99,,,0.180,4.34,6.310,1.0100
CoRoT-5 b,CoRoT-5,1,1,Transit,6100.00,1.19,1.00,-0.250,[M/H],,4.19,6.900,
CoRoT-5 b,CoRoT-5,1,1,Transit,6100.00,1.19,1.00,0.250,,,,6.900,
CoRoT-5 b,CoRoT-5,1,1,Transit,6100.00,1.05,1.02,-0.250,[Fe/H],,4.41,3.900,1.2000
CoRoT-6 b,CoRoT-6,1,1,Transit,6090.00,1.02,1.05,-0.200,[Fe/H],,4.43,,
CoRoT-6 b,CoRoT-6,1,1,Transit,6090.00,1.02,1.05,0.200,,,,2.500,
CoRoT-6 b,CoRoT-6,1,1,Transit,6090.00,1.04,1.05,-0.200,[Fe/H],,4.42,2.500,1.3100
CoRoT-7 b,CoRoT-7,1,2,Transit,5256.00,0.86,0.90,0.060,[M/H],0.514,4.52,,1.3925
CoRoT-7 b,CoRoT-7,1,2,Transit,5313.00,0.84,0.88,0.030,[Fe/H],,4.54,,2.1100
CoRoT-7 b,CoRoT-7,1,2,Transit,5250.00,0.96,0.88,0.120,[Fe/H],,4.42,,1.4100
CoRoT-7 b,CoRoT-7,1,2,Transit,5259.00,0.82,0.91,0.138,[Fe/H],,4.57,1.320,2.3540
CoRoT-7 b,CoRoT-7,1,2,Transit,5275.00,0.87,0.93,0.030,[M/H],,4.50,1.750,1.6000
CoRoT-7 b,CoRoT-7,1,2,Transit,5256.00,0.86,0.90,0.060,[M/H],0.514,4.52,,1.3925
CoRoT-7 b,CoRoT-7,1,2,Transit,5275.00,0.83,0.82,0.050,[Fe/H],,4.50,,2.0000
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,5256.00,0.86,0.90,0.060,[M/H],0.514,4.52,,1.3925
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,5256.00,0.86,0.90,0.060,[M/H],0.514,4.52,,1.3925
CoRoT-8 b,CoRoT-8,1,1,Transit,5080.00,0.77,0.88,0.300,,,,3.000,
CoRoT-8 b,CoRoT-8,1,1,Transit,5080.00,0.77,0.88,0.300,[M/H],,4.58,3.000,2.7000
CoRoT-8 b,CoRoT-8,1,1,Transit,,0.80,0.89,,,-0.400,4.58,1.700,2.4400
CoRoT-8 b,CoRoT-8,1,1,Transit,5080.00,0.90,0.88,0.310,[Fe/H],,4.47,,1.7000
CoRoT-9 b,CoRoT-9,2,1,Transit,5625.00,0.94,0.99,-0.010,[M/H],,4.54,,1.6800
CoRoT-9 b,CoRoT-9,2,1,Transit,5625.00,0.96,0.96,0.010,,,,6.000,
CoRoT-9 b,CoRoT-9,2,1,Transit,5625.00,0.94,0.96,-0.010,[Fe/H],,4.48,,1.6300
